# timestamp,p_x,p_y,p_z,q_w,q_x,q_y,q_z
0.0,1.110223e-16,2.220446e-16,-2.220446e-16,1.0,0.0,-2.5000000623275775e-18,0.0
103759500.0,0.05154656,-0.02424883,1.000725,0.9997616156650667,0.001269994263451446,0.02178007731587944,0.0008527540444282943
207590100.0,0.1464632,-0.05051622,1.995659,0.9990053057663612,0.003620249294537884,0.04435296267836897,0.0028473755207172827
311605500.0,0.2879204,-0.07903059,2.986691,0.9977123025844363,0.005802311367167308,0.06727056894673318,0.003341408092908908
415086000.0,0.4657503,-0.1102928,3.963845,0.9958710554074808,0.007207143140745814,0.0904595053737855,0.0024445811234671717
518869200.00000006,0.6971645,-0.143877,4.934639,0.9934641398869083,0.0072757585026765855,0.11384434828374543,0.003940870566976018
622687600.0,0.9715689,-0.1802237,5.887651,0.9905300639037736,0.007795285918501693,0.13699054272223338,0.004797627007487148
726431800.0,1.288079,-0.2184877,6.826202,0.9870790937019442,0.009671795989484309,0.15981044780048625,0.006476103202857203
830170600.0,1.651331,-0.254729,7.743952,0.9832010072728593,0.011218171431250038,0.18198247141836713,0.008503647678332484
933952800.0,2.050498,-0.2919528,8.64624,0.9787556407796795,0.011603624413348721,0.20451665645071035,0.00869992969253653
1037695000.0,2.488685,-0.3309237,9.527392,0.9737291731261876,0.011376333510537172,0.22723177300905448,0.009370046638604105
1141483000.0,2.966292,-0.3697385,10.38417,0.9680577207248005,0.010950282264430641,0.25029598075183174,0.009811354794942882
1245136000.0,3.483068,-0.4086031,11.2156,0.961805663989768,0.010696958335308912,0.27333947258300534,0.01004850872611707
1348871000.0,4.03669,-0.4439735,12.01878,0.9550663583302582,0.010940106302858658,0.2959958197320843,0.010725668323814127
1452734000.0,4.631439,-0.4790227,12.79006,0.9478264814372427,0.011833742864599142,0.3183209977624166,0.012516628925169127
1556375000.0,5.252124,-0.5136186,13.53058,0.9401722407170149,0.012317184792331206,0.3402476082319547,0.01249038976065408
1660095000.0,5.913461,-0.5462713,14.23731,0.9319558636895681,0.013030091412175229,0.362031498284919,0.014888891899609165
1763837000.0,6.602643,-0.5777429,14.91216,0.9232606604408061,0.013154313657559808,0.38364486256943636,0.015275350689373237
1867714000.0,7.315983,-0.6091556,15.55483,0.9138717916652344,0.013355289696778459,0.405501027704692,0.015129480034959885
1971323000.0,8.059654,-0.636292,16.155,0.9040492584136657,0.01507796135032384,0.4268243573018261,0.01698709678262519
2074936999.9999998,8.824947,-0.6652783,16.72174,0.8938404096343721,0.01565454794825421,0.44779045245248494,0.01696961772087796
